CT_TOT,0
CT_R_V1_ROI,1
CT_R_MST_ROI,2
CT_R_V6_ROI,3
CT_R_V2_ROI,4
CT_R_V3_ROI,5
CT_R_V4_ROI,6
CT_R_V8_ROI,7
CT_R_4_ROI,8
CT_R_3b_ROI,9
CT_R_FEF_ROI,10
CT_R_PEF_ROI,11
CT_R_55b_ROI,12
CT_R_V3A_ROI,13
CT_R_RSC_ROI,14
CT_R_POS2_ROI,15
CT_R_V7_ROI,16
CT_R_IPS1_ROI,17
CT_R_FFC_ROI,18
CT_R_V3B_ROI,19
CT_R_LO1_ROI,20
CT_R_LO2_ROI,21
CT_R_PIT_ROI,22
CT_R_MT_ROI,23
CT_R_A1_ROI,24
CT_R_PSL_ROI,25
CT_R_SFL_ROI,26
CT_R_PCV_ROI,27
CT_R_STV_ROI,28
CT_R_7Pm_ROI,29
CT_R_7m_ROI,30
CT_R_POS1_ROI,31
CT_R_23d_ROI,32
CT_R_v23ab_ROI,33
CT_R_d23ab_ROI,34
CT_R_31pv_ROI,35
CT_R_5m_ROI,36
CT_R_5mv_ROI,37
CT_R_23c_ROI,38
CT_R_5L_ROI,39
CT_R_24dd_ROI,40
CT_R_24dv_ROI,41
CT_R_7AL_ROI,42
CT_R_SCEF_ROI,43
CT_R_6ma_ROI,44
CT_R_7Am_ROI,45
CT_R_7PL_ROI,46
CT_R_7PC_ROI,47
CT_R_LIPv_ROI,48
CT_R_VIP_ROI,49
CT_R_MIP_ROI,50
CT_R_1_ROI,51
CT_R_2_ROI,52
CT_R_3a_ROI,53
CT_R_6d_ROI,54
CT_R_6mp_ROI,55
CT_R_6v_ROI,56
CT_R_p24pr_ROI,57
CT_R_33pr_ROI,58
CT_R_a24pr_ROI,59
CT_R_p32pr_ROI,60
CT_R_a24_ROI,61
CT_R_d32_ROI,62
CT_R_8BM_ROI,63
CT_R_p32_ROI,64
CT_R_10r_ROI,65
CT_R_47m_ROI,66
CT_R_8Av_ROI,67
CT_R_8Ad_ROI,68
CT_R_9m_ROI,69
CT_R_8BL_ROI,70
CT_R_9p_ROI,71
CT_R_10d_ROI,72
CT_R_8C_ROI,73
CT_R_44_ROI,74
CT_R_45_ROI,75
CT_R_47l_ROI,76
CT_R_a47r_ROI,77
CT_R_6r_ROI,78
CT_R_IFJa_ROI,79
