ID,VS.5mm.L_GainAntGrCtrlAnt,VS.5mm.L_SmGainAntGrCtrlAnt,VS.5mm.L_LgGainAntGrCtrlAnt,VS.5mm.R_GainAntGrCtrlAnt,VS.5mm.R_SmGainAntGrCtrlAnt,VS.5mm.R_LgGainAntGrCtrlAnt,VS.10mm.L_GainAntGrCtrlAnt,VS.10mm.L_SmGainAntGrCtrlAnt,VS.10mm.L_LgGainAntGrCtrlAnt,VS.10mm.R_GainAntGrCtrlAnt,VS.10mm.R_SmGainAntGrCtrlAnt,VS.10mm.R_LgGainAntGrCtrlAnt
DMHDS0225,-0.055585,-0.382017,0.270847,-0.171063,-0.311177,-0.030949,-0.017274,-0.271381,0.236833,0.170219,0.010008,0.33043
DMHDS0210,-0.025876,-0.066176,0.014424,0.22977,0.175158,0.284382,-0.000486,-0.016203,0.015231,0.125771,0.11901,0.132533
DMHDS0247,0.481114,0.535276,0.426953,0.15714,-0.011064,0.325345,0.444023,0.438625,0.449421,0.127139,-0.094976,0.349255
DMHDS0338,0.260435,0.074065,0.446805,0.326399,0.125322,0.527477,0.23448,-0.028778,0.497737,0.328162,0.110874,0.545449
DMHDS0234,0.396443,0.418177,0.374709,0.33979,0.233713,0.445867,0.269103,0.184552,0.353653,0.314205,0.210352,0.418059
DMHDS1223,-0.399421,-0.804764,0.005921,-0.112076,-0.362508,0.138357,0.092801,-0.195141,0.380744,0.217583,-0.022571,0.457738
DMHDS0384,-0.002173,0.003419,-0.007764,0.27882,0.373657,0.183984,0.071316,-0.038514,0.181147,-0.035451,0.026384,-0.097285
DMHDS0206,0.089731,-0.039077,0.218538,-0.062207,-0.286355,0.161941,0.028991,-0.143202,0.201184,0.024041,-0.212918,0.260999
DMHDS0336,-0.196533,-0.008434,-0.384633,0.054406,0.185817,-0.077006,-0.162065,-0.004394,-0.319736,0.060402,0.232734,-0.111929
DMHDS0375,0.527747,0.507377,0.548117,0.482446,0.396835,0.568056,0.450258,0.336844,0.563673,0.422503,0.372198,0.472808
DMHDS0318,0.070122,0.067874,0.072369,0.066128,0.014258,0.117998,0.036012,-0.015422,0.087445,0.105793,0.07786,0.133726
DMHDS0396,0.392824,0.079898,0.705749,0.411694,0.055532,0.767855,0.247826,-0.047793,0.543445,0.305964,0.080939,0.530989
DMHDS0256,0.103755,0.142245,0.065264,-0.071515,0.026428,-0.169457,0.115322,0.125135,0.10551,-0.052267,-0.047424,-0.057111
DMHDS0325,0.169104,0.003598,0.33461,0.113234,-0.046845,0.273312,0.046462,-0.098468,0.191393,-0.013986,-0.102986,0.075014
DMHDS0233,0.293598,0.261261,0.325935,0.398223,0.298296,0.498151,0.14663,0.112706,0.180554,0.173143,0.086441,0.259845
DMHDS0253,-0.09811,-0.227852,0.031632,-0.540896,-0.639045,-0.442747,-0.102385,-0.19139,-0.01338,-0.275351,-0.398019,-0.152684
DMHDS0245,0.062457,-0.117995,0.242908,0.114597,-0.028714,0.257907,0.116074,0.041892,0.190256,0.22112,0.133455,0.308784
DMHDS0323,0.226403,0.248976,0.20383,0.289624,0.214601,0.364648,0.291973,0.274442,0.309504,0.35479,0.248972,0.460608
DMHDS0348,0.283026,0.408441,0.157611,0.021545,0.200004,-0.156913,0.143697,0.149368,0.138026,0.154471,0.229253,0.07969
